hotel_unit,name,rating,date,review,processed_review,translated_review
GDHY,Andry C.,8.2,2019-12-21,,,
GDHY,AM,9.1,2018-06-30,"Harga cocok dengan pengalaman menginapnya, kamar luas dan nyaman, makanan enak dan lengkap, ada tamannya walau kecil.",harga cocok alam inap kamar luas nyaman makan enak lengkap taman kecil,price suitable natural inpatient rooms wide comfortable eating delicious complete garden small garden
GDHY,G***t,6.6,2024-11-08,"Bantal tidak empuk dan tipis, bathtub kurang bersih, pas saya wifi tersambung namun akses internet tidak bisa, TV kecil dengan siaran tidak bersih, perlengkapan mandi minim",bantal empuk tipis bathtub kurang bersih pas wifi sambung akses internet tv kecil siar bersih lengkap mandi minim,thin soft pillow bathtub less clean when wifi connects access to small tv internet access clean complete shower
GDHY,sri d. e.,9.1,2024-10-15,"Kamarnya luas bersih, towelnya wangi, sheet no spot. Kita dateng dijmset1 untungnya kamar sudah ready jadi bisa langsung ci, makanan enak, staf staf ramah. Masukan buat tvnya harus diganti deh karena kita nonton layarnya jelek.",kamar luas bersih towel wangi sheet nomor spot datang dijmset untung kamar ready jadi langsung ci makan enak staf staf ramah masuk buat tvnya ganti deh nonton layar jelek,The room is wide clean Towel Sheet the spot number comes to be picked up by the ready room so it immediately ci eats delicious staff friendly for the TV to replace the bad screen
GDHY,IN,6.0,2018-07-10,Kaca kamar kotor. Pembuangan air wastafel kurang lancar. Fasilitas kamar mandi seperti sisir tidak ada.,kaca kamar kotor buang air wastafel kurang lancar fasilitas kamar mandi sisir,"Dirty room glass to defecate the sink is not smooth, comb bathroom facilities"
GDHY,HA,8.5,2019-11-28,"Hotel ini bagus untuk tetap bahkan kami cukup tua tapi terawat dengan baik. Satu-satunya masalah yang saya miliki adalah kartu tidak dapat siap beberapa kali oleh sensor pintu, jadi perlu beberapa waktu untuk membuka pintu kamar",hotel bagus tetap bahkan cukup tua awat baik satusatunya masalah milik kartu siap beberapa kali sensor pintu jadi perlu beberapa waktu buka pintu kamar,"Good hotel remains even quite old, both the only problem is ready for card"
GDHY,IV,10.0,2017-04-03,"Bagus banget, recommended lah untuk yang ke jogja",bagus banget recommended lah jogja,really good recommended jogja
GDHY,YY,8.5,2018-01-28,"Bersih, nyaman, pelayanan yang memuaskan.",bersih nyaman layan muas,clean comfortable serving
GDHY,theodoro f. w. o.,8.8,2019-06-19,Lokasi cukup strategis tapi harus memutar cukup jauh. Segala fasilitas baik dan makan pagi cukup bervariasi. Petugas hotel ramah dan harga cukup terjangkau.,lokasi cukup strategis putar cukup jauh segala fasilitas baik makan pagi cukup variasi tugas hotel ramah harga cukup jangkau,The location is quite strategic to play far away all the good facilities for breakfast are quite variations
GDHY,gh,8.5,2018-03-13,Pelayanan kebersihan makanan baik...makanan hanya waktu itu ada snack / makanan kecil lupa namanya sudah agak basi...sudah saya sampaikan ke kokinya langsung diambil.,layan bersih makan baikmakanan waktu snack makan kecil lupa nama basisudah sampai koki langsung ambil,Clean service eating well when snacks a small eating forgot the name of the basis until the chef immediately take it
GDHY,PT,8.5,2017-01-26,"Tempat yang asik pada saat tahun baruan bersama keluarga,hanya daerahnya terlalu jauh dari pusat kota",tempat asik tahun baru sama keluargahanya daerah terlalu jauh pusat kota,The cool place of the new year and the family is too far from the city center
GDHY,fp,9.4,2022-12-25,,,
GDHY,CS,8.4,2020-01-03,,,
GDHY,JS,10.0,2018-11-02,"Asiklah kalau mau makan di luar banyak kuliner tersedia didakatnya, kalau makanan di dalam asik, selisih dikitlah dengan luar tapi kan penyajiannya bagus banget.",asiklah kalau mau makan luar banyak kuliner sedia didakatnya kalau makan asik selisih dikit luar kan saji bagus banget,It's cool if you want to eat outside a lot of culinary delights if you eat a little bit the difference outside the serving is really good
GDHY,N,9.7,2019-02-23,"Ruangannya besar, bersih, rapi dan sangat-sangat nyaman. Petugas hotel sangat ramah dan simpatik. Makanan enak dan banyak variasi. Tempat sangat strategis.",ruang besar bersih rapi sangatsangat nyaman tugas hotel sangat ramah simpatik makan enak banyak variasi tempat sangat strategis,Large Clean Neat Room is very comfortable task of the hotel is very friendly sympathetic to eating delicious variations of very strategic places
GDHY,andy s.,9.7,2020-01-04,"Sangat memuaskan, fasilitas lengkap dan pelayanannya sangat baik, ingin lagi rasanya berlibur sama keluarga besar di tidak hotel lagi.",sangat muas fasilitas lengkap layan sangat baik rasa libur sama keluarga besar hotel,Very complete facilities of service services are very good at a holiday with the extended family of the hotel
GDHY,Hw,10.0,2017-05-10,"Saya meninggalkan sesuatu setelah diperiksa, namun saya berhasil mengembalikan barang-barang saya karena pelayanan yang baik",tinggal periksa hasil kembali barangbarang layan baik,just check the results of the good service items are good
GDHY,bowo k.,8.5,2018-01-22,"Kamar luas, bersih, tenang, makanan banyak variasinya dan enak.",kamar luas bersih tenang makan banyak variasi enak,The room is wide clean calm eating a lot of good variations
GDHY,Afif D. N.,9.1,2019-06-25,"Hotel ini cukup baik untuk bagi pelancong jauh ke yogya untuk menikmati kota jogja dengan desain hotel yang mewah kuno, Meski banyak ornamen-ornamen yang sudah ke kelihatan tua tapi kesan mewah tetap terjaga. Staf cukup baik dan bekerja cukup cepat.",hotel cukup baik lancong jauh yogya nikmat kota jogja desain hotel mewah kuno meski banyak ornamenornamen lihat tua kesan mewah tetap jaga staf cukup baik kerja cukup cepat,"The hotel is quite good, a lot of lack of yogya delicious jogja city design of ancient luxury hotels even though many ornaments see old luxury impression, keep staff good enough to work quite fast"
GDHY,Veronica I. D. M.,9.7,2018-04-02,Kamar luas bersih lokasi strategis,kamar luas bersih lokasi strategis,room area net strategic location
GDHY,andra w.,5.2,2020-01-05,"Untuk ukuran kamar yang saya pesan memang besar, tapi fasilitas dan service yang diberikan kurang memuaskan, saya memesan kamar dengan permintaan double bed, 2 minggu sebelum saya check in disana, akan tetapi karena occupiednya tanggal saya check in, permintaan saya dikesampingkan sehingga saya mendapatkan kamar dengan twin bed dan saluran air mandi yang begitu payah. Mohon ditingkatkan lagi service dari GQ. Thanks",ukur kamar pesan memang besar fasilitas service beri kurang muas mes kamar minta double bed minggu check in sana occupiednya tanggal check in minta samping dapat kamar twin bed salur air mandi payah mohon tingkat service gq terima kasih,Measure the ordered room is indeed a large service facility to give a lack of meas mes room ask for double bed week check in there occupied
GDHY,Bima S.,9.0,2018-06-21,"lokasi cukup strategis, check in cukup cepat. Staff cukup ramah dan helpfull. kami menginap 2 malam. Saran : 1. Wifi tidak cukup cepat. Perlu di upgrade. 2. kran air panas dan air dingin perlu diperbaiki dan diganti dengan model lebih baik. Ini penting untuk menghemat air. karena beberapa tidak berfungsi dengan baik untuk mengadjust flow air. 3. air warna agak kuning",lokasi cukup strategis check in cukup cepat staff cukup ramah helpfull inap malam saran wifi cukup cepat perlu baru kran air panas air dingin perlu baik ganti model lebih baik penting hemat air beberapa fungsi baik mengadjust flow air air warna kuning,The location is quite strategic checking in fast enough staff is quite friendly helpful at night advice wifi advice is fast enough to new cold water faucets need to be good to change the model better.
GDHY,Kurniadi W.,9.1,2017-06-02,"Deketa bandara, lokasi nyaman dan tenang",deketa bandara lokasi nyaman tenang,the airport deck is a comfortable location to calm down
GDHY,MI,8.8,2017-05-08,"Saya memilih hotel ini karena lokasinya yang strategis. Begitu masuk lobi, desain interiornya terlihat ketinggalan jaman dan membosankan, tapi setelah menginap, kenyamanan dari kebersihan dan pelayanan yang baik menutupi kekurangannya. Secara keseluruhan, saya menikmati masa tinggal saya di GQ. Tapi untuk real, interiornya perlu diperbarui",pilih hotel lokasi strategis masuk lobi desain interior lihat tinggal jaman bosan inap nyaman bersih layan baik tutup kurang seluruh nikmat masa tinggal gq real interior perlu baru,"Choose a Strategic Location Hotel Entering the lobby of the interior design, See staying in the era bored, comfortable cleaning, good service, good lid, lacking the entire favors of GQ Real Interior, need to be new"
GDHY,RA,9.7,2017-01-12,"Kamar Luas, layanan bagus, tempat parkir memadai, cuma untuk kolam renang kurang bersih",kamar luas layan bagus tempat parkir pada cuma kolam renang kurang bersih,Good room service good parking lot in just a swimming pool is less clean
GDHY,HC,9.7,2019-12-25,"Pesanan tiket buat ibu mertua. So far bagus, tidak ada komplain sama sekali. Thank you Traveloka.",pesan tiket buat ibu mertua so far bagus komplain sama sekali thank you traveloka,order tickets for mother -in -law so far good complaints at all thank you traveloka
GDHY,FP,9.1,2020-01-13,check-in sangat mudah. Kamar dapat sesuai dan ukuran cukup luas. Hotel memang lama tetapi renovasi terus berjalan dengan baik. Harga juga tidak mahal untuk bintang. 4. pasti kesini lagi kalau ke yogya.,checkin sangat mudah kamar sesuai ukur cukup luas hotel memang lama renovasi terus jalan baik harga mahal bintang kesini kalau yogya,Checkkin is very easy to room according to the size of the area is quite extensive the hotel is a long time renovation continues to go well at the high price of stars here if Yogya
GDHY,s***i,10.0,2024-08-13,Dari depan terlihat hotel lawas. Tapi dalamnya mantep. Recommended. Mungkin saya mau kesini lagi kalau pas ke jogja. Thanks grand diamond tks apps,depan lihat hotel lawas dalam mantap recommended mungkin mau kesini kalau pas jogja terima kasih grand diamond terima kasih apps,"front see the old hotel in great recommended maybe you want to come here if you are in jogja, thank you Grand Diamond, thank you apps"
GDHY,af,9.7,2018-10-07,"Bagi kami cukup nyaman, kamar mandi ada bathub, anak-anak senang, waktu pertama datang, koneksi WiFi error, tapi yang bagusnya, Pihak hotel membuat semacam selebaran dan memasukkan ke kamar melalui bawah pintu jika sedang ada masalah terkait WiFi, yang kurangnya, Untuk kolam renang lebih bagus lagi jika ditingkatkan perawatannya. Selainnya recommended.",cukup nyaman kamar mandi bathub anakanak senang waktu pertama datang koneksi wifi error bagus pihak hotel buat macam selebaran masuk kamar lalu bawah pintu sedang masalah kait wifi kurang kolam renang lebih bagus tingkat awat selain recommended,Quite comfortable bathroom Bathub children happy when the first time comes a good wifi error connection. The hotel for a kind of leaflet enters the room and under the door while the WiFi hook problem is less swimming pool is better than recommended
GDHY,A***i,8.7,2024-07-14,"Lokasi bagus, proses cek in&cek out nyaman dan cepat, kolam renang sangat baik, kenyamanan menginap baik cuma pintu kamar mandi perlu diperbaiki karena tidak bisa tertutup dengan baik dan suhu AC terbaca tetap 22 meskipun set point ac 25. Setelah AC dimatikan beberapa lama baru terbaca naik menjadi 24.",lokasi bagus proses cek incek out nyaman cepat kolam renang sangat baik nyaman inap baik cuma pintu kamar mandi perlu baik tutup baik suhu ac baca tetap meski set point ac ac mati beberapa lama baru baca naik jadi,Good location The process of checking out -comfortable outcoming fast swimming pool is very good good good good inpatress only the bathroom door needs to be good good lid AC temperature reads even though the AC AC set point is dead for a long time just read up so it goes up
GDHY,DF,10.0,2024-02-29,"Senang banget bisa bermalam di hotel ini, hotelnya bersih nyaman juga. Kesempatan bagus juga bisa nginap di sini dengan harga yang terjangkau tapi fasilitasnya setara kamar yang kelas atas. Menu sarapan variatif sampai bingung mau sarapan apa? Hehe. Pelayanan dari seluruh petugas juga ramah dan memuaskan, semoga bisa bermalam di sini lagi nantinya:)",senang banget malam hotel hotel bersih nyaman sempat bagus nginap sini harga jangkau fasilitas tara kamar kelas atas menu sarap variatif bingung mau sarap apa he layan seluruh tugas ramah muas moga malam sini nanti,"Very happy Night Clean Hotel Hotel, I was good at staying here, the price of the Tara Room Facilities Upper Classrooms Menu Sarap Sarap varied confused about what to do, he served, he served all the tasks of being friendly, hopefully this night"
GDHY,SN,10.0,2024-07-10,"Puas sekali, the best dah 👍 tetap menjadi terbaik untuk pelayanan.",puas sekali the best deh tetap jadi baik layan,very satisfied the best still becomes good service
GDHY,S,8.5,2019-06-22,"Hotel yang sangat bersih, ramah pelayanannya dan masakannya enak. Tempatnya di pinggir jalan jogja solo. dekat bandara. dekat kemana-mana. pokoknya saya suka. siplah.",hotel sangat bersih ramah layan masakan enak tempat pinggir jalan jogja solo dekat bandara dekat kemanamana pokok suka sip,Very Clean Hotel Friendly Laying Delicious Cuisine Places Jalan Jogja Solo Near the Airport
GDHY,Aloysius C. P. N.,8.5,2022-12-28,,,
GDHY,KD,8.5,2024-01-03,"Oke banget hotelnya, check ini cepet, pelayanan bagus. Kamar bersih, anak bisa berenang dan bermain. Breakfast aja sih rada di tambahin menunya. Tapi overall udah oke semuanya.",oke banget hotel check cepat layan bagus kamar bersih anak renang main breakfast sih rada tambahin menu overall oke semua,"Okay, Hotel Check Fast Laying Bagus Clean Room Swimming Children Main Breakfast, Rada, add the Overall menu okay all"
GDHY,WS,9.4,2019-01-13,"Menyenangkan, makanannya juga enak, pegawainya ramah-ramah dan pelayanan yang bagus.",senang makan enak pegawai ramahramah layan bagus,happy to eat good friendly employees good service
GDHY,Nabilla U. I.,9.7,2018-11-12,"Dimulai dari pelayanannya, semua staff yang bekerja di GQ Hotel sangat ramah menyambut kedatangan saya. Dari mulai security yang membuka portal, receptionist, staff yang bertugas di bagian restaurant, dan janitors; semuanya ramah dan welcome sekali. Sistem pelayanan juga sangat cepat dan mudah, sehingga tidak perlu ribet dan lama menunggu. Kamar bersih, rapi, wangi, dan ACnya cukup dingin. Amenities yang disediakan juga lengkap, sesuai standar hotel pada umumnya. Selain itu, koneksi Wi-Fi sangat kuat dan stabil. Breakfast yang dihidangkan juga enak-enak, lengkap; ada appetizer, main course yang beragam, dessert yang pas, minumannya juga berbagai macam pilihan. Swimming poolnya bersih, jernih, dan nyaman. Ada playground untuk anak-anak juga di dekat lobi utama. Intinya, dari segi pelayanan, hidangan, fasilitas, keamanan, kenyamanan; semuanya lengkap, nyaman, bersih, dan sesuai standar yang seharusnya untuk hotel berbintang 4. Berkaca dari pengalaman saya pribadi, hampir tidak ada kekurangan dari hotel ini. Semoga ada kesempatan lagi untuk menginap di sini. Terima kasih.",mulai layan semua staff kerja gq hotel sangat ramah sambut datang mulai security buka portal receptionist staff tugas bagi restaurant janitors semua ramah welcome sekali sistem layan sangat cepat mudah perlu ribet lama tunggu kamar bersih rapi wangi acnya cukup dingin amenities sedia lengkap sesuai standar hotel umum koneksi wifi sangat kuat stabil breakfast hidang enakenak lengkap appetizer main course agam dessert pas minum bagai macam pilih swimming poolnya bersih jernih nyaman playground anakanak dekat lobi utama inti segi layan hidang fasilitas aman nyaman semua lengkap nyaman bersih sesuai standar hotel bintang kaca alam pribadi hampir kurang hotel moga sempat inap sini terima kasih,"Starting from serving all GQ Hotel's work staff very friendly welcome coming from security opening Portal Receptionist Task Staff for Restaurant Janitors All Welcome System very fast Fast Fast Easy to Need to Long Long Wait Long Wait Clean Rooms Neat Wangi AC quite cold Amenities Complete according to the Standard of the Public Hotel Wifi Connection Very strong stable Breakfast Hydang Makinak Complete Complete Appetizer Main Course Agam Dessert when drinking like a kind of select Swimming The pool is clean clear comfortable playground children near the main lobby of the core of the core servis, the safe facility is comfortable, all complete, completely clean according to the standard of the private star hotel, almost lacking the hotel."
GDHY,A***n,10.0,2024-06-23,"Hotel sangat okey, kamar luas nyaman, makan enak, bangunan terawat dan bersih.",hotel sangat okey kamar luas nyaman makan enak bangun awat bersih,Hotel Very Okay Spacious Room Comfortable Eating Delicious Wake Clean
GDHY,Eka M. P.,8.5,2023-02-25,Hotel ini menyediakan fasilitas yang lengkap dengan harga yang terjangkau. Bersih dan parkirnya juga luas. Stafnya juga ramah. Nyaman sekali menginap di hotel ini.,hotel sedia fasilitas lengkap harga jangkau bersih parkir luas staf ramah nyaman sekali inap hotel,Hotel Available Facilities Complete Price of Clean Parking Extensive Parking Staff Very Comfortable Hotel Inap
GDHY,KR,8.8,2019-08-31,"Lokasi tengah kota, dekat bandara, kamar mandi bathin, fasilitas kolam renang ada, sarapan lumayan.",lokasi tengah kota dekat bandara kamar mandi bathin fasilitas kolam renang sarap lumayan,Location of the middle of the city near the bathroom airport inner bathroom pool facilities
GDHY,JM,9.4,2019-12-09,"Hotel ini walaupun terbilang bukan hotel baru, namun pelayanan nya sangat baik, cepat dan tanggap.. saya dan istri sangat menikmati pengalaman malam malam kami selama menginap.. mungkin sedikit masukan untuk menu sarapan yang lebih variatif, dan khusus gudeg, kreceknya pahit ya.. apa memang seperti itu aslinya.. terimakasih",hotel walaupun bilang bukan hotel baru layan nya sangat baik cepat tanggap istri sangat nikmat alam malam malam lama inap mungkin sedikit masuk menu sarap lebih variatif khusus gudeg krecek pahit iya apa memang asli terimakasih,"Hotel Although says it is not a new hotel, the service is very good, fast, the wife is very delicious, the night of the night, the night may be a little, a bit of a gudeg gudeg krecek bitter menu, yes, what is the original, thank you"
GDHY,ML,8.5,2017-01-15,"Bagus banget, super baik pelayanannya.",bagus banget super baik layan,really good super good service
GDHY,HW,8.5,2018-12-18,"2 kali menginap, cukup menyenangkan.",kali inap cukup senang,the time is quite happy
GDHY,AN,8.5,2017-06-02,"Nyaman, kamar luas, dekat dengan bandara.",nyaman kamar luas dekat bandara,Comfortable Spacious Room Near the Airport
GDHY,ika P.,9.4,2019-02-18,"Ruangan yang luas, kamar mandi luas, semua bersih dan rapi, pelayanan yang baik sekali. Check-in yang mudah, ke sini pas ada renovasi jadi kadang ada suara yang mengganggu. Sayang banget petunjuk jalannya kurang, jadi sempat nyasar pas nyari kamar. Semoga tetap bisa menjadi hotel bintang yang terbaik di Jogja.",ruang luas kamar mandi luas semua bersih rapi layan baik sekali checkin mudah sini pas renovasi jadi kadang suara ganggu sayang banget tunjuk jalan kurang jadi sempat sesat pas cari kamar moga tetap jadi hotel bintang baik jogja,"The spacious space of the bathroom is spacious, all clean, it's very good, it's easy to check, it's easy to renovate, so sometimes the sound is disturbing, it's a pity to show you less, so I have a misguided when looking for a room, I still"
GDHY,AH,8.5,2019-09-01,"Bersih, nyaman, sarapan enak dan banyak menu.",bersih nyaman sarap enak banyak menu,Clean Comfortable Delicious Delicious Many menus
GDHY,SP,8.5,2018-01-05,"Hotel yang bagus untuk keluarga, ruangan besar, merekomendasikan untuk menginap keluarga.",hotel bagus keluarga ruang besar rekomendasi inap keluarga,Bagus Family Hotel Large Space Recommendations Family Inpatients
GDHY,serli o. k.,8.5,2018-11-16,"Kamarnya luas dan bersih, nyaman banget untuk yang bawa anak, makanannya juga enak-enak, top deh.",kamar luas bersih nyaman banget bawa anak makan enakenak top deh,"The spacious room is very clean, carrying children to eat pretty top"
GDHY,MS,8.5,2017-02-08,"Makanan enak, pelayanan ramah, suasana cozy",makan enak layan ramah suasana cozy,Eat delicious services friendly atmosphere cozy
GDHY,SS,10.0,2018-07-25,Hotelnya bagus karena baru di renovasi kamarnya,hotel bagus baru renovasi kamar,Good Hotel New Room Renovation
GDHY,AN,8.5,2018-07-21,"Suasana temang, kamar luas, akses mudah sekat bandara, harga sesuai yang ditawarkan.",suasana tang kamar luas akses mudah sekat bandara harga sesuai tawar,The atmosphere of the room is spacious access to easy near the airport according to bargaining
GDHY,N***a,7.6,2024-07-20,"Rambut di kamar dan kamar mandi. Cermin kotor, bak mandi. Bantal yang sangat buruk! Semuanya sudah sangat tua. Sarapannya enak. Tidak tahu cara memasak telur. Kopi itu sangat murah. Lebih baik mengatakan kualitas semua makanannya murah. Tapi itu hanya pandangan orang standar Eropa, mungkin bagi orang lokal bagus. Windows juga kotor. Tidak ada lemari pakaian. Satu potong sabun, sama dengan sikat gigi, tidak ada shower gel di dalam botol. Gym dan sauna ditutup.",rambut kamar kamar mandi cermin kotor bak mandi bantal sangat buruk semua sangat tua sarap enak tahu cara masak telur kopi sangat murah lebih baik kata kualitas semua makan murah pandang orang standar eropa mungkin orang lokal bagus windows kotor lemari pakai satu potong sabun sama sikat gigi shower gel botol gym sauna tutup,"Hair Bathroom Bathroom Dirty Mirror Bathing pillow tub is very bad, all very old Sarap Delicious Know how to cook coffee eggs are very cheap, better quality all eating cheap views of European standards maybe good local people dirty Windows using one piece of soap and toothbrush shower gel sauna gym bottle lid"
GDHY,YK,9.7,2019-02-13,Hotel yang nyaman. anak-anak suka karena ada bathub.,hotel nyaman anakanak suka bathub,comfortable hotel kids like bathtub
GDHY,M***a,10.0,2024-07-09,"Bersih banget, staff nya ramah semua, makanannya juga enak” semua tapi ga banyak varianny si, tapi untuk harga sgini dapet bathtub dan udah dapet sarapan worth it bgtt si.",bersih banget staff nya ramah semua makan enak  semua banyak varianny si harga sgini bathtub sarap worth it bgtt si,"The staff is very clean, all of them eat well, all the variants are many variants, the price is sgini bathtub worth it worth it"
GDHY,Imam S.,10.0,2018-06-23,,,
GDHY,Nunung T.,10.0,2024-05-03,Hotel yang sangat bagus dan menyenangkan untuk tempat menginap bersama keluarga. Next semoga bisa menginap lagi di sini.,hotel sangat bagus senang tempat inap sama keluarga lanjut moga inap sini,The hotel is very good happy to stay with family. Continue to be inpatient
GDHY,SH,8.5,2017-11-24,Bagus nyaman makanannya enak dan bersih,bagus nyaman makan enak bersih,good comfortable eating delicious clean
GDHY,Agnes L. N. G.,9.7,2019-11-15,"Suka semua, cuma 1 tidak ada hair dryer di kamar mandi. Tapi bisa meminta ke room service, recommended bagi saya.",suka semua cuma hair dryer kamar mandi minta room service recommended,Like everything just a bathroom hair dryer asking for a recommended room service room
GDHY,FH,10.0,2017-07-12,Baik dan sangat memuaskan dan nyaman,baik sangat muas nyaman,good very comfortable
GDHY,OA,9.4,2019-12-31,"Mantap pelayanan, kamar bersih dan makanan enak.",mantap layan kamar bersih makan enak,great serving clean rooms well eating delicious
GDHY,BJ,9.4,2022-12-31,"Baik untuk menginap bersama keluarga seperti sebelumnya bernama ""Quality Hotel"". Namun saat ini belum dilengkapi fasilitas seperti kolam renang juga lounge.",baik inap sama keluarga belum nama quality hotel lengkap fasilitas kolam renang lounge,good inpatient with family not yet name Quality Hotel Complete Swimming Pool Facilities Lounge
GDHY,G,8.3,2019-02-12,Lumayan lah buat tempat istirahat.,lumayan lah buat tempat istirahat,not bad for a resting place
GDHY,SR,9.7,2018-01-04,"Nyaman, kamarnya luas, free wifi.",nyaman kamar luas free wifi,comfortable room spacious free wifi
GDHY,DF,6.3,2023-05-19,"Dari sisi kamar, toilet gak berfungsi dengan baik, ada bocor. Dan complimentary gak lengkap, terus gak ada hairdryer juga. Dari sisi sarapan juga rasa biasa aja. So far oke untuk nginep semalem.",sisi kamar toilet fungsi baik bocor complimentary lengkap terus hairdryer sisi sarap rasa biasa so far oke inap semalem,the room side of the toilet good function of a complete leaky complimentary
GDHY,ya,5.7,2018-12-30,"1. Kamar sepenuhnya diarungi, namun masih berdebu. 2. Kolam renang terlalu tua dan perlu direnovasi. 3. Menu sarapan terlalu standar untuk hotel bintang 4. Biaya tambahan untuk sarapan juga terlalu mahal.",kamar sepenuh arung debu kolam renang terlalu tua perlu renovasi menu sarap terlalu standar hotel bintang biaya tambah sarap terlalu mahal,"The full room of the pool dust is too old, need to renovate the sarap menu too standard."
GDHY,eh,9.7,2018-07-16,Lokasi bagus dan pelayanan bagus,lokasi bagus layan bagus,Good location good service
GDHY,BS,10.0,2024-02-08,"Hotel ini sangat bagus, makanan breakfastnya juga sangat enak.",hotel sangat bagus makan breakfastnya sangat enak,The hotel is very good eating a very good breakfast
GDHY,G,10.0,2017-05-12,"Hotel yang bagus dan nyaman, tidak jauh dari pusat kota bersih dan bersahabat.",hotel bagus nyaman jauh pusat kota bersih sahabat,good hotel good comfortable city center for friends
GDHY,MM,10.0,2017-06-04,"Kurang colokan di kamar, selebihnya menyenangkan.",kurang colok kamar lebih senang,lacking the rooms more happier
GDHY,JS,10.0,2018-11-04,Kamarnya sesuai gambar bersih lega juga bersih dapat view.,kamar sesuai gambar bersih lega bersih view,room according to the picture cleanly relieved clean view
GDHY,MR,10.0,2018-12-01,,,
GDHY,RT,9.1,2024-07-07,Sedikit bising dari kendaraan di jalan tol yogya-solo.,sedikit bising kendara jalan tol yogyasolo,A little noise in the Yogyasolo Toll Road
GDHY,Christine,8.5,2019-02-10,"Ok, bagus, dekat factory outlet, kamar besar baik, hotel bagus.",bagus dekat factory outlet kamar besar baik hotel bagus,good near factory outlet big rooms good hotel good
